category,period,amount,actual_roi
IOWA,1995-01,8585952,1.0794552543503622
IOWA,1996-01,8853150,1.0442451556790522
IOWA,1997-01,9347768,1.0172550281521748
IOWA,1998-01,9729171,1.030858847069293
IOWA,1999-01,10320512,1.1267877988998996
IOWA,2000-01,11453109,0.9900812958298049
IOWA,2001-01,12271461,0.8357157309956817
IOWA,2002-01,12720752,0.8749758662066519
IOWA,2003-01,13088000,0.9911904798288509
IOWA,2004-01,13424350,1.1444140684651398
IOWA,2012-01,20030601,1.1079298619147773
IOWA,2013-01,20013121,1.2714277298378398
IOWA,2014-01,21185747,1.2742703384497134
IOWA,2015-01,22478436,1.130746107069015
IOWA,2016-01,22900620,1.096134253133758
IOWA,2017-01,22750127,1.288589905454154
IOWA,2018-01,23847289,1.2202494799304022
IOWA,2019-01,24468184,1.2673250699765868
KANSAS,1992-01,5484122,1.0532426156821457
KANSAS,1993-01,5742465,1.1766286777542396
KANSAS,1994-01,6654192,1.1231924176519104
KANSAS,1995-01,7116429,1.0362485173392442
KANSAS,1996-01,7275754,1.0808841255490496
KANSAS,1997-01,7496081,1.0605224249844685
KANSAS,1998-01,7681014,1.099333629648377
KANSAS,1999-01,8370653,1.0378073251871747
KANSAS,2000-01,9123858,1.1391993387007997
KANSAS,2001-01,10196910,0.8544977841326441
KANSAS,2002-01,10591633,0.9152802027789294
KANSAS,2003-01,10954011,0.9495822123969019
KANSAS,2004-01,11362755,0.9748758113679297
KANSAS,2012-01,16273114,0.8471260018211634
KANSAS,2013-01,16319278,1.1485519763803276
KANSAS,2014-01,16899267,1.126683896999793
KANSAS,2015-01,18010288,1.0035148799397322
KANSAS,2016-01,18652551,0.9556395798086814
KANSAS,2017-01,19766053,1.1096179899952712
KANSAS,2018-01,19769863,1.1363583551388292
KANSAS,2019-01,20623250,1.1316887493484296
KENTUCKY,1992-01,10154199,1.0478177549996803
KENTUCKY,1993-01,10543212,1.0749259333872827
KENTUCKY,1994-01,10541432,1.112707931901472
KENTUCKY,1995-01,11395067,1.1273143018816827
KENTUCKY,1996-01,11842386,1.164315366852592
KENTUCKY,1997-01,12949018,1.1608994597119255
KENTUCKY,1998-01,13541073,1.1807841224990072
KENTUCKY,1999-01,14777655,1.1404454901674184
KENTUCKY,2000-01,15682365,1.2402887574673847
KENTUCKY,2001-01,17338956,1.070404642586324
KENTUCKY,2002-01,18424584,0.8723615686519707
KENTUCKY,2003-01,19116816,0.9613213309161944
KENTUCKY,2004-01,20123773,1.0085454651073633
KENTUCKY,2012-01,29450261,0.8443465407658017
KENTUCKY,2013-01,29001676,0.986437163148778
KENTUCKY,2014-01,30596678,1.0139710592110687
KENTUCKY,2015-01,33422994,0.8909113588088488
KENTUCKY,2016-01,34574385,0.8648236837762986
KENTUCKY,2017-01,34798937,1.044040138352502
KENTUCKY,2018-01,35308122,1.0287372406836024
KENTUCKY,2019-01,35324395,1.0405520604103764
LOUISIANA,1992-01,11749590,0.9795519673452435
LOUISIANA,1993-01,12893236,1.0352928465747466
LOUISIANA,1994-01,12935620,1.0455188850631048
LOUISIANA,1995-01,14461235,0.9650639796670202
LOUISIANA,1996-01,14029815,1.0189861377359573
LOUISIANA,1997-01,14285704,1.1150293328211196
LOUISIANA,1998-01,14918718,1.1800837042432197
LOUISIANA,1999-01,15705909,1.132433659204316
LOUISIANA,2000-01,16553676,1.1349865733750015
LOUISIANA,2001-01,16410263,1.0853852250874956
LOUISIANA,2002-01,17993401,1.0055704310708131
LOUISIANA,2003-01,18681314,1.0404851072039152
LOUISIANA,2004-01,20482301,1.1449580786846165
LOUISIANA,2012-01,30943626,0.8705554093757467
LOUISIANA,2013-01,31268399,1.0634029583670082
LOUISIANA,2014-01,31662474,1.0905376503428001
LOUISIANA,2015-01,30614617,0.9189733779782383
LOUISIANA,2016-01,31382182,0.8516984574240248
LOUISIANA,2017-01,33709206,1.1136077782431304
LOUISIANA,2018-01,35072725,1.096119762579041
LOUISIANA,2019-01,36087759,1.0183531485011303
MAINE,1992-01,3721512,1.010608053930768
MAINE,1993-01,3888537,1.0095285193377355
MAINE,1994-01,3901756,1.0502773622953356
MAINE,1995-01,4179160,1.0068899013198824
MAINE,1996-01,4239839,1.006378072374918
MAINE,1997-01,4441284,1.1742108813577334
MAINE,1998-01,4606471,1.2351359641686661
MAINE,1999-01,4864878,1.2102108213196714
MAINE,2000-01,5448061,1.1552102665517145
MAINE,2001-01,5737911,0.9075452721382399
MAINE,2002-01,6264883,0.8701555958826366
MAINE,2003-01,6706116,1.0141773569082313
